county_name,crime_rate_per_100000,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,population,Households,Mean,Stdev
"Crittenden County, AR",1754.914968,8,38,165,662,1482,1753,189,28,49746,14585.0,102159.44557247695,357157000.9321901
"Alexander County, IL",1664.700485,1,2,5,119,82,184,12,2,7629,1729.0,55906.10547459778,238104667.28812677
"De Soto Parish, LA",1447.40243,3,4,17,368,149,494,60,0,27083,1939.0,99694.33944161622,357157000.9321901
"Shelby County, TN",1315.0037519999998,135,483,3512,8224,14011,30620,3233,435,939465,268905.0,118835.36815212047,178578500.4660951
"Marlboro County, SC",1253.437132,3,20,32,296,408,1074,67,5,28003,1263.0,45890.36877336065,119052333.64406338
"Storey County, NV",1217.656012,0,7,2,39,23,55,8,2,3942,397.0,86204.05904081941,59526166.82203169
"Scott County, MO",1163.145839,2,7,26,422,236,1002,39,8,39290,8082.0,104221.58670952711,297630834.11015844
"Pershing County, NV",1148.756725,0,3,1,75,27,43,5,0,6877,410.0,76881.36210380745,178578500.4660951
"Greenwood County, SC",1140.226324,7,39,73,676,965,2564,122,12,69723,1127.0,75770.02528447864,297630834.11015844
"Madison County, TN",1138.4238300000002,13,33,196,882,1300,2604,180,27,98733,8.0,48399.499996666505,59526166.82203169
"Davidson County, TN",1129.513728,65,312,1753,5309,5875,20373,1418,100,658602,2127.0,210185.06798321742,119052333.64406338
"Marion County, IN",1083.5081189999999,102,453,3486,6017,15125,29122,4757,414,928281,30127.0,103679.648115859,535735501.39828515
"Wayne County, MI",1065.188284,433,803,5879,11795,19882,34706,15251,766,1775273,388356.0,85376.02178620288,952418669.1525073
"Jackson County, MO",1026.623686,116,358,1913,4594,9695,25994,4953,318,679996,95090.0,115570.63482086874,654787835.0423486
"Northwest Arctic Borough, AK",1014.964216,0,23,12,43,46,126,38,2,7685,1647.0,126031.87192422987,535735501.39828515
"Pemiscot County, MO",998.7095326,0,6,21,151,192,463,23,2,17823,448.0,50677.27617135601,297630834.11015844
"Iberville Parish, LA",974.0162436,5,9,26,285,266,928,26,0,33367,5635.0,96070.92466043154,357157000.9321901
"Pulaski County, AR",959.9165822999998,61,179,1058,2458,7065,18011,1805,130,391284,94302.0,137162.5038320162,476209334.5762535
"Jefferson County, AR",959.1343197999998,14,42,139,507,1400,2306,255,44,73191,2599.0,110345.4954761097,238104667.28812677
"Miller County, AR",956.1771347000001,1,9,45,360,488,1597,130,6,43402,264.0,92690.7817904309,59526166.82203169
"Muskogee County, OK",954.4400666000001,3,34,41,593,878,1324,142,23,70303,3249.0,86790.46437673981,535735501.39828515
"Barnwell County, SC",953.9310095000001,5,4,33,169,349,691,74,10,22119,909.0,58376.55720717309,59526166.82203169
"Tangipahoa Parish, LA",952.8593755,11,64,185,935,2683,4262,218,1,125412,4454.0,73148.27289984502,357157000.9321901
"Marion County, SC",941.6313295,8,12,51,231,771,1060,92,12,32072,2597.0,83768.39607898398,178578500.4660951
"Dillingham Census Area, AK",938.1237525,0,18,1,28,12,55,7,0,5010,920.0,128743.56675393516,178578500.4660951
"Dougherty County, GA",930.4176661,4,32,240,589,1600,3844,266,13,92969,29076.0,86742.7865625299,59526166.82203169
"Carter County, OK",930.0694973999999,4,42,37,368,450,1327,109,23,48491,13171.0,106800.62257888027,297630834.11015844
"Genesee County, MI",922.7783983999999,69,242,980,2542,6105,8311,936,313,415376,64438.0,83342.56225002914,595261668.2203169
"Macon County, AL",919.3417310000001,6,10,25,140,516,640,110,3,19688,192.0,56995.0922467454,59526166.82203169
"Milwaukee County, WI",912.6349471000001,103,276,3426,4919,8744,29434,5223,351,956023,297726.0,102863.28445306624,535735501.39828515
"Richland County, SC",911.4452882000002,24,184,809,2622,4965,12511,2087,51,399256,63917.0,120392.43134661182,357157000.9321901
"Grundy County, TN",911.2461105000001,3,4,1,115,157,167,63,12,13498,290.0,38813.5867607186,59526166.82203169
"Greene County, AL",903.4766697000001,0,2,7,70,48,90,15,12,8744,1167.0,54390.030774126,119052333.64406338
"Rock County, MN",892.8571429,0,0,0,85,9,52,3,0,9520,2265.0,98860.773228576,238104667.28812677
"San Joaquin County, CA",887.1644385,89,152,1992,4016,8019,16847,4398,158,704379,139622.0,119416.66900678187,892892502.3304756
"Pottawattamie County, IA",873.5225606,1,79,83,647,1166,3283,567,55,92728,26781.0,104520.55161960442,476209334.5762535
"Nolan County, TX",871.1844117999999,0,27,10,94,143,345,19,1,15037,3997.0,84161.90090175241,59526166.82203169
"Kodiak Island Borough, AK",856.0311284,0,8,10,103,23,200,31,3,14135,2471.0,128182.59854695774,416683167.7542218
"Winnebago County, IL",854.9331535,15,196,553,1721,2939,7356,492,101,290666,19493.0,119663.48438716846,476209334.5762535
"Suffolk County, MA",831.2342903,60,310,2257,3653,3956,16223,1998,11,755503,284382.0,156738.82255461597,178578500.4660951
"Saginaw County, MI",828.830479,29,126,242,1232,1751,2707,223,56,196542,30222.0,74143.74792433782,476209334.5762535
"Dallas County, AL",828.6503477000001,9,24,70,245,743,1415,158,26,41996,2349.0,105770.97675017298,178578500.4660951
